19966.96, 663.3161, 17.0, 0.0, 1460.656, 1460.566, 3367.405, 3367.315, 1.03227, -4.93701, 0.090088, -507.132, -507.186, 492.1235, 492.275, -0.20516, 7.243859, 0.053528, 129.0403, 129.0894, 316.3044, 316.3044, 0.258222, -2.23327, -0.0491, 0.0, 5.08, 0.0, 5.100647, -0.116, -0.116, -0.04155, 5.100647, 0.0, 2000.0, 1997.636, 1997.636, 1997.636, 0.029911, -7.69205, -7.69205, -7.69205, 0.176231, 0.176231, 1.76e-06, 0.38073, 0.046345, 0.295399, -7.73655, 0.0, 7.687556, 0.0, 7.263452, 0.0, -8.31244, 0.0, -6.12155, 0.0, 0.0, 0.0, -16252.0, 0.0, -18443.0, 0.0, -0.28873, 0.0, -6.12155, 0.0, -1.62155, 0.0, 321.375, 321.375
19966.74, 684.1521, 17.0, 0.0, 1447.241, 1447.379, 3353.987, 3353.795, 1.472935, -4.9827, -0.13794, -492.486, -492.478, 506.7677, 506.98, -0.33431, 7.213224, -0.00729, 122.7532, 122.8023, 310.0172, 310.0172, 0.229593, -2.23327, -0.0491, 0.0, 5.08, 0.0, 5.102814, -0.11467, -0.11467, -0.03871, 5.102814, 0.0, 2000.0, 1996.688, 1996.688, 1996.688, 0.058361, -9.05517, -9.05517, -9.05517, 0.17927, 0.17927, 1.79e-06, 0.28955, -0.06525, 0.301659, -7.74862, 0.0, 7.747561, 0.0, 7.251382, 0.0, -8.25244, 0.0, -6.11871, 0.0, 0.0, 0.0, -16251.7, 0.0, -18442.7, 0.0, -0.29571, 0.0, -6.11871, 0.0, -1.61871, 0.0, 315.085, 315.085
20004.26, 704.988, 17.0, 0.0, 1433.828, 1433.846, 3340.572, 3340.59, 0.692413, -4.95148, -0.01807, -477.842, -477.766, 521.4088, 521.485, -0.14681, 7.168014, -0.07617, 116.4673, 116.5162, 303.7313, 303.7313, 0.195916, -2.23309, -0.04892, 0.0, 5.08, 0.0, 5.103668, -0.11696, -0.11696, -0.03975, 5.103668, 0.0, 2000.0, 1996.498, 1996.498, 1996.498, -0.15345, -7.90728, -7.90728, -7.90728, 0.165594, 0.165594, 1.66e-06, 0.423462, 0.0868, 0.294946, -7.74252, 0.0, 7.964218, 0.0, 7.257478, 0.0, -8.03578, 0.0, -6.11975, 0.0, 0.0, 0.0, -16289.3, 0.0, -18480.3, 0.0, -0.29858, 0.0, -6.11975, 0.0, -1.61975, 0.0, 308.8, 308.8
19505.54, 725.5831, 17.0, 0.0, 1420.787, 1420.589, 3327.528, 3327.33, -1.05982, -4.67773, 0.197998, -463.604, -463.604, 535.6447, 535.84, -0.19694, 6.868629, -0.00037, 110.3555, 110.4021, 297.6195, 297.6195, 0.145768, -2.15849, -0.0466, 0.0, 5.08, 0.0, 5.045471, -0.06666, -0.06666, 0.016127, 5.045471, 0.0, 2000.0, 2013.19, 2013.19, 2013.19, -0.20719, -6.18544, -6.18544, -6.18544, 0.167873, 0.167873, 1.68e-06, 0.402703, 0.055582, 0.293176, -7.85743, 0.0, 8.465825, 0.0, 7.142571, 0.0, -7.53418, 0.0, -6.06387, 0.0, 0.0, 0.0, -15790.5, 0.0, -17981.5, 0.0, -0.29352, 0.0, -6.06387, 0.0, -1.56387, 0.0, 302.635, 302.635
18494.72, 745.2566, 17.0, 0.0, 1408.374, 1408.281, 3315.113, 3314.735, -2.87164, -4.46755, 0.092773, -450.052, -449.981, 549.194, 549.445, -0.32466, 6.494968, -0.07104, 104.5384, 104.5827, 291.8024, 291.8024, 0.278619, -2.0519, -0.04431, 0.0, 5.08, 0.0, 5.052582, -0.04151, -0.04151, 0.041731, 5.052582, 0.0, 2000.0, 2009.396, 2009.396, 2009.396, 0.017265, -6.40067, -6.40067, -6.40067, 0.146599, 0.146599, 1.47e-06, 0.028858, -0.23695, 0.283397, -7.99655, 0.0, 8.732914, 0.0, 7.003454, 0.0, -7.26709, 0.0, -6.03827, 0.0, 0.0, 0.0, -14779.7, 0.0, -16970.7, 0.0, -0.29124, 0.0, -6.03827, 0.0, -1.53827, 0.0, 296.82, 296.82
17510.29, 763.9493, 17.0, 0.0, 1396.59, 1396.379, 3303.327, 3303.115, -2.85668, -4.2116, 0.211914, -437.188, -437.069, 562.0569, 562.175, -0.16999, 6.133085, -0.1181, 99.016, 99.05799, 286.28, 286.28, 0.164875, -1.94732, -0.04199, 0.0, 5.08, 0.0, 5.035003, -0.02772, -0.02772, 0.05699, 5.035003, 0.0, 2000.0, 1999.343, 1999.343, 1999.343, 0.055202, -7.33334, -7.33334, -7.33334, 0.176991, 0.176991, 1.77e-06, -0.55338, -0.58883, 0.217202, -7.97732, 0.0, 8.502403, 0.0, 7.022676, 0.0, -7.4976, 0.0, -6.02301, 0.0, 0.0, 0.0, -13795.3, 0.0, -15986.3, 0.0, -0.26583, 0.0, -6.02301, 0.0, -1.52301, 0.0, 291.255, 291.255
16490.57, 781.6655, 17.0, 0.0, 1385.436, 1385.155, 3292.17, 3291.89, -0.41362, -3.96561, 0.280029, -425.009, -424.987, 574.2334, 574.42, -0.31698, 5.842453, -0.02167, 93.78831, 93.82801, 281.0523, 281.0523, 0.166754, -1.84263, -0.0397, 0.0, 5.08, 0.0, 5.042694, -0.03151, -0.03151, 0.052015, 5.042694, 0.0, 2000.0, 1996.877, 1996.877, 1996.877, -0.00171, -8.05077, -8.05077, -8.05077, 0.181549, 0.181549, 1.82e-06, -0.63715, -0.66727, 0.198618, -7.98948, 0.0, 8.505937, 0.0, 7.010523, 0.0, -7.49406, 0.0, -6.02798, 0.0, 0.0, 0.0, -12775.6, 0.0, -14966.6, 0.0, -0.21369, 0.0, -6.02798, 0.0, -1.52798, 0.0, 286.035, 286.035
15529.58, 798.4051, 17.0, 0.0, 1374.909, 1374.823, 3281.642, 3281.3, 1.353207, -3.77103, 0.086914, -413.517, -413.436, 585.7233, 585.96, -0.25749, 5.473703, -0.08167, 88.85533, 88.89274, 276.1193, 276.1193, 0.347955, -1.73795, -0.03741, 0.0, 5.08, 0.0, 5.090668, -0.07364, -0.07364, 0.001753, 5.090668, 0.0, 2000.0, 1995.36, 1995.36, 1995.36, 0.03307, -8.98343, -8.98343, -8.98343, 0.182309, 0.182309, 1.82e-06, -0.53585, -0.62386, 0.222773, -7.99006, 0.0, 8.823127, 0.0, 7.009943, 0.0, -7.17687, 0.0, -6.07825, 0.0, 0.0, 0.0, -11814.6, 0.0, -14005.6, 0.0, -0.20466, 0.0, -6.07825, 0.0, -1.57825, 0.0, 281.16, 281.16
14637.3, 814.1683, 17.0, 0.0, 1365.012, 1364.844, 3271.743, 3271.575, 1.191425, -3.52115, 0.167969, -402.712, -402.584, 596.5269, 596.655, -0.0846, 5.111836, -0.12811, 84.21708, 84.25217, 271.4811, 271.4811, 0.314304, -1.63327, -0.0351, 0.0, 5.08, 0.0, 5.0289, -0.0187, -0.0187, 0.061171, 5.0289, 0.0, 2000.0, 1997.067, 1997.067, 1997.067, 0.045715, -8.05077, -8.05077, -8.05077, 0.17927, 0.17927, 1.79e-06, -0.53021, -0.58358, 0.209961, -7.94827, 0.0, 9.138277, 0.0, 7.051731, 0.0, -6.86172, 0.0, -6.01883, 0.0, 0.0, 0.0, -10922.3, 0.0, -13113.3, 0.0, -0.21716, 0.0, -6.01883, 0.0, -1.51883, 0.0, 276.46, 276.46
13765.74, 828.9548, 17.0, 0.0, 1355.744, 1355.461, 3262.473, 3262.19, -0.86649, -3.26528, 0.282959, -392.593, -392.427, 606.644, 606.81, -0.08335, 4.753858, -0.16595, 79.87351, 79.90629, 267.1375, 267.1375, 0.07876, -1.52859, -0.03278, 0.0, 5.08, 0.0, 5.022491, -0.01617, -0.01617, 0.06529, 5.022491, 0.0, 2000.0, 2005.603, 2005.603, 2005.603, -0.19138, -7.33334, -7.33334, -7.33334, 0.18079, 0.18079, 1.81e-06, -0.48988, -0.58387, 0.20345, -7.97617, 0.0, 9.158882, 0.0, 7.023827, 0.0, -6.84112, 0.0, -6.01471, 0.0, 0.0, 0.0, -10050.7, 0.0, -12241.7, 0.0, -0.20847, 0.0, -6.01471, 0.0, -1.51471, 0.0, 272.11, 272.11
12854.14, 842.7648, 17.0, 0.0, 1347.105, 1346.928, 3253.832, 3253.445, -2.79555, -3.05367, 0.176758, -383.161, -383.091, 616.0747, 616.27, -0.1651, 4.463009, -0.07031, 75.82465, 75.85514, 263.0886, 263.0886, 0.192577, -1.42391, -0.03049, 0.0, 5.08, 0.0, 5.031341, -0.04144, -0.04144, 0.034132, 5.031341, 0.0, 2000.0, 2013.0, 2013.0, 2013.0, -0.20719, -6.47242, -6.47242, -6.47242, 0.181549, 0.181549, 1.82e-06, -0.53125, -0.64163, 0.203292, -7.99656, 0.0, 8.77741, 0.0, 7.003444, 0.0, -7.22259, 0.0, -6.04587, 0.0, 0.0, 0.0, -9139.14, 0.0, -11330.1, 0.0, -0.20206, 0.0, -6.04587, 0.0, -1.54587, 0.0, 268.1, 268.1
11886.59, 855.5982, 17.0, 0.0, 1339.094, 1338.829, 3245.82, 3245.555, -2.7725, -2.8031, 0.264648, -374.415, -374.314, 624.8189, 625.035, -0.13156, 4.109032, -0.10107, 72.07053, 72.0987, 259.3345, 259.3345, 0.209293, -1.31923, -0.02817, 0.0, 5.08, 0.0, 5.010468, -0.01821, -0.01821, 0.057722, 5.010468, 0.0, 2000.0, 2012.431, 2012.431, 2012.431, -0.11235, -6.75939, -6.75939, -6.75939, 0.190667, 0.190667, 1.91e-06, -0.56894, -0.6183, 0.197999, -7.99465, 0.0, 8.429529, 0.0, 7.005352, 0.0, -7.57047, 0.0, -6.02228, 0.0, 0.0, 0.0, -8171.59, 0.0, -10362.6, 0.0, -0.20095, 0.0, -6.02228, 0.0, -1.52228, 0.0, 264.325, 264.325
10845.28, 867.455, 17.0, 0.0, 1331.712, 1331.436, 3238.437, 3238.16, -0.88911, -2.56767, 0.276611, -366.356, -366.228, 632.8767, 633.005, -0.13484, 3.756882, -0.1283, 68.61111, 68.63698, 255.8751, 255.8751, 0.135329, -1.21455, -0.02588, 0.0, 5.08, 0.0, 5.014877, -0.01861, -0.01861, 0.055998, 5.014877, 0.0, 2000.0, 2011.293, 2011.293, 2011.293, 0.007782, -7.33334, -7.33334, -7.33334, 0.183829, 0.183829, 1.84e-06, -0.49574, -0.55089, 0.193036, -7.99912, 0.0, 8.496546, 0.0, 7.000883, 0.0, -7.50346, 0.0, -6.024, 0.0, 0.0, 0.0, -7130.28, 0.0, -9321.28, 0.0, -0.19613, 0.0, -6.024, 0.0, -1.524, 0.0, 260.87, 260.87
9888.726, 878.3354, 17.0, 0.0, 1324.96, 1324.842, 3231.682, 3231.4, 0.94101, -2.36649, 0.117432, -358.984, -358.932, 640.248, 640.395, -0.08096, 3.456478, -0.052, 65.44639, 65.46998, 252.7104, 252.7104, 0.087657, -1.10987, -0.02359, 0.0, 5.08, 0.0, 5.019592, -0.02306, -0.02306, 0.048994, 5.019592, 0.0, 2000.0, 1999.912, 1999.912, 1999.912, 0.048878, -8.62471, -8.62471, -8.62471, 0.189907, 0.189907, 1.90e-06, -0.54706, -0.59624, 0.187625, -7.99009, 0.0, 8.812855, 0.0, 7.009907, 0.0, -7.18714, 0.0, -6.03101, 0.0, 0.0, 0.0, -6173.73, 0.0, -8364.73, 0.0, -0.19073, 0.0, -6.03101, 0.0, -1.53101, 0.0, 257.715, 257.715
9000.77, 888.239, 17.0, 0.0, 1318.835, 1318.678, 3225.557, 3225.4, 1.245875, -2.12556, 0.157227, -352.298, -352.206, 646.9328, 647.115, -0.07103, 3.097996, -0.09216, 62.5764, 62.59768, 249.8404, 249.8404, 0.072097, -1.00519, -0.02129, 0.0, 5.08, 0.0, 5.004608, -0.00571, -0.00571, 0.066679, 5.004608, 0.0, 2000.0, 1996.498, 1996.498, 1996.498, 0.026745, -7.7638, -7.7638, -7.7638, 0.189907, 0.189907, 1.90e-06, -0.57353, -0.61845, 0.177221, -7.99597, 0.0, 9.134542, 0.0, 7.004027, 0.0, -6.86546, 0.0, -6.01332, 0.0, 0.0, 0.0, -5285.77, 0.0, -7476.77, 0.0, -0.18423, 0.0, -6.01332, 0.0, -1.51332, 0.0, 254.83, 254.83
8115.671, 897.1661, 17.0, 0.0, 1313.341, 1313.129, 3220.061, 3219.85, -0.30041, -1.88159, 0.211182, -346.298, -346.185, 652.9313, 653.045, -0.10314, 2.748885, -0.11365, 60.00111, 60.02007, 247.2651, 247.2651, 0.067046, -0.90051, -0.01897, 0.0, 5.08, 0.0, 4.999893, 0.01257, 0.01257, 0.084074, 4.999893, 0.0, 2000.0, 1995.549, 1995.549, 1995.549, 0.064682, -7.47682, -7.47682, -7.47682, 0.185348, 0.185348, 1.85e-06, -0.56256, -0.60006, 0.175661, -8.03182, 0.0, 9.205182, 0.0, 6.968182, 0.0, -6.79482, 0.0, -5.99593, 0.0, 0.0, 0.0, -4400.67, 0.0, -6591.67, 0.0, -0.17622, 0.0, -5.99593, 0.0, -1.49593, 0.0, 252.255, 252.255
7243.137, 905.1167, 17.0, 0.0, 1308.474, 1308.285, 3215.194, 3215.005, -2.46574, -1.65363, 0.188965, -340.986, -340.924, 658.2433, 658.375, 0.000897, 2.436532, -0.06171, 57.72053, 57.73719, 244.9845, 244.9845, 0.138959, -0.79583, -0.01666, 0.0, 5.08, 0.0, 5.035461, -0.0146, -0.0146, 0.051191, 5.035461, 0.0, 2000.0, 1998.205, 1998.205, 1998.205, 0.05204, -6.68765, -6.68765, -6.68765, 0.186108, 0.186108, 1.86e-06, -0.61428, -0.61984, 0.159495, -8.03699, 0.0, 8.88961, 0.0, 6.963006, 0.0, -7.11039, 0.0, -6.02881, 0.0, 0.0, 0.0, -3528.14, 0.0, -5719.14, 0.0, -0.17095, 0.0, -6.02881, 0.0, -1.52881, 0.0, 249.995, 249.995
6283.463, 912.0908, 17.0, 0.0, 1304.237, 1303.981, 3210.956, 3210.7, -3.07373, -1.40752, 0.255615, -336.359, -336.278, 662.8689, 663.01, -0.18511, 2.088343, -0.08118, 55.73466, 55.74903, 242.9987, 242.9987, 0.109586, -0.69114, -0.01437, 0.0, 5.08, 0.0, 4.991333, 0.020215, 0.020215, 0.088041, 4.991333, 0.0, 2000.0, 2006.741, 2006.741, 2006.741, -0.24512, -6.6159, -6.6159, -6.6159, 0.213841, 0.213841, 2.14e-06, -0.59246, -0.59761, 0.147462, -7.99796, 0.0, 8.518871, 0.0, 7.002037, 0.0, -7.48113, 0.0, -5.99196, 0.0, 0.0, 0.0, -2568.46, 0.0, -4759.46, 0.0, -0.15518, 0.0, -5.99196, 0.0, -1.49196, 0.0, 247.97, 247.97
5265.885, 918.0883, 17.0, 0.0, 1300.628, 1300.472, 3207.346, 3207.1, -1.49409, -1.19449, 0.15625, -332.42, -332.318, 666.8079, 666.9101, 0.088131, 1.73959, -0.10211, 54.0435, 54.05557, 241.3075, 241.3075, 0.236067, -0.58646, -0.01207, 0.0, 5.08, 0.0, 4.987503, 0.030698, 0.030698, 0.094572, 4.987503, 0.0, 2000.0, 2013.759, 2013.759, 2013.759, -0.21351, -7.69205, -7.69205, -7.69205, 0.191427, 0.191427, 1.91e-06, -0.52919, -0.55004, 0.165131, -8.00372, 0.0, 8.440908, 0.0, 6.996276, 0.0, -7.55909, 0.0, -5.98543, 0.0, 0.0, 0.0, -1550.88, 0.0, -3741.88, 0.0, -0.15254, 0.0, -5.98543, 0.0, -1.48543, 0.0, 246.28, 246.28
4268.605, 923.1093, 17.0, 0.0, 1297.648, 1297.512, 3204.366, 3204.23, 0.718479, -0.96572, 0.135986, -329.167, -329.057, 670.0606, 670.17, 0.002223, 1.397534, -0.10944, 52.64704, 52.65682, 239.911, 239.911, 0.170185, -0.48178, -0.00978, 0.0, 5.08, 0.0, 5.023956, -0.00266, -0.00266, 0.05583, 5.023956, 0.0, 2000.0, 2013.0, 2013.0, 2013.0, -0.1819, -8.12251, -8.12251, -8.12251, 0.161035, 0.161035, 1.61e-06, -0.54135, -0.6079, 0.125584, -8.04836, 0.0, 8.688098, 0.0, 6.951641, 0.0, -7.3119, 0.0, -6.02417, 0.0, 0.0, 0.0, -553.605, 0.0, -2744.61, 0.0, -0.15332, 0.0, -6.02417, 0.0, -1.52417, 0.0, 244.925, 244.925
3351.264, 927.1538, 17.0, 0.0, 1295.297, 1295.163, 3202.015, 3201.88, 1.625029, -0.7329, 0.134766, -326.6, -326.522, 672.6267, 672.735, 0.033939, 1.074744, -0.07831, 51.54531, 51.55277, 238.8093, 238.8093, 0.17444, -0.3771, -0.00746, 0.0, 5.08, 0.0, 5.005676, 0.018453, 0.018453, 0.07678, 5.005676, 0.0, 2000.0, 2010.914, 2010.914, 2010.914, -0.07441, -7.47682, -7.47682, -7.47682, 0.165594, 0.165594, 1.66e-06, -0.57882, -0.57517, 0.12112, -8.02583, 0.0, 9.073061, 0.0, 6.974168, 0.0, -6.92694, 0.0, -6.00322, 0.0, 0.0, 0.0, 363.7358, 0.0, -1827.26, 0.0, -0.12374, 0.0, -6.00322, 0.0, -1.50322, 0.0, 243.805, 243.805
2489.579, 930.2216, 17.0, 0.0, 1293.575, 1293.443, 3200.292, 3200.13, 0.327432, -0.50067, 0.132324, -324.72, -324.631, 674.5065, 674.5951, 0.188419, 0.73142, -0.08856, 50.73829, 50.74345, 238.0023, 238.0023, 0.095647, -0.27242, -0.00516, 0.0, 5.08, 0.0, 4.987701, 0.034686, 0.034686, 0.092451, 4.987701, 0.0, 2000.0, 1995.17, 1995.17, 1995.17, 0.05204, -7.18985, -7.18985, -7.18985, 0.1428, 0.1428, 1.43e-06, -0.59905, -0.56615, 0.154098, -8.03994, 0.0, 9.211949, 0.0, 6.960061, 0.0, -6.78805, 0.0, -5.98755, 0.0, 0.0, 0.0, 1225.421, 0.0, -965.579, 0.0, -0.13009, 0.0, -5.98755, 0.0, -1.48755, 0.0, 242.985, 242.985
1614.58, 932.3128, 17.0, 0.0, 1292.482, 1292.288, 3199.199, 3199.005, -2.02649, -0.25565, 0.193848, -323.526, -323.431, 675.6998, 675.795, 0.190574, 0.389849, -0.09521, 50.22597, 50.22883, 237.49, 237.49, 0.137448, -0.16774, -0.00285, 0.0, 5.08, 0.0, 4.990021, 0.033657, 0.033657, 0.087828, 4.990021, 0.0, 2000.0, 1996.877, 1996.877, 1996.877, 0.055202, -7.33334, -7.33334, -7.33334, 0.188388, 0.188388, 1.88e-06, -0.57163, -0.61706, 0.112429, -8.14035, 0.0, 9.00643, 0.0, 6.859652, 0.0, -6.99357, 0.0, -5.99217, 0.0, 0.0, 0.0, 2100.42, 0.0, -90.5796, 0.0, -0.14079, 0.0, -5.99217, 0.0, -1.49217, 0.0, 242.475, 242.475
662.2964, 933.4275, 17.0, 0.0, 1292.018, 1291.798, 3198.735, 3198.515, -3.37027, -0.01823, 0.219482, -323.02, -322.931, 676.2066, 676.295, 0.202123, 0.054982, -0.08838, 50.00837, 50.00893, 237.2724, 237.2724, 0.149825, -0.06306, -0.00056, 0.0, 5.08, 0.0, 4.987625, 0.041183, 0.041183, 0.092939, 4.987625, 0.0, 2000.0, 1998.395, 1998.395, 1998.395, 0.039394, -7.18985, -7.18985, -7.18985, 0.192187, 0.192187, 1.92e-06, -0.65235, -0.52021, 0.099158, -8.18509, 0.0, 8.604002, 0.0, 6.814908, 0.0, -7.396, 0.0, -5.98706, 0.0, 0.0, 0.0, 3052.704, 0.0, 861.7037, 0.0, -0.10914, 0.0, -5.98706, 0.0, -1.48706, 0.0, 242.26, 242.26
-30.1006, 933.6401, 18.0, 0.0, 1292.0, 1291.883, 3198.717, 3198.6, -0.65168, 0.033308, 0.116699, -323.0, -322.966, 676.2261, 676.26, 0.004448, -0.02099, -0.03387, 50.00001, 50.00001, 237.264, 237.264, 0.08366, 0.002339, 0.0, 0.0, 5.08, 0.0, 5.025986, 0.008495, 0.008495, 0.054014, 5.025986, 0.0, 2000.0, 1998.205, 1998.205, 1998.205, -0.03964, -8.40949, -8.40949, -8.40949, 0.187628, 0.187628, 1.88e-06, -0.70525, -0.44351, 0.124539, -8.14942, 0.0, 8.350598, 0.0, 6.850575, 0.0, -7.6494, 0.0, -6.02599, 0.0, 0.0, 0.0, 3745.101, 0.0, 1554.101, 0.0, -0.10562, 0.0, -6.02599, 0.0, -1.52599, 0.0, 242.29, 242.29
0.746848, 933.628, 18.0, 0.0, 1292.0, 1291.949, 3198.717, 3198.665, 0.07451, 0.021715, 0.051514, -323.0, -322.996, 676.2261, 676.23, 0.065554, -0.00636, -0.00385, 50.00001, 50.00001, 237.264, 237.264, 0.025379, -4.8e-05, 0.0, 0.0, 5.08, 0.0, 5.040985, -0.00407, -0.00407, 0.039015, 5.040985, 0.0, 2000.0, 1998.774, 1998.774, 1998.774, -0.08074, -8.19425, -8.19425, -8.19425, 0.183069, 0.183069, 1.83e-06, -0.65929, -0.469, 0.105822, -8.10081, 0.0, 8.264132, 0.0, 6.899185, 0.0, -7.73587, 0.0, -6.04098, 0.0, 0.0, 0.0, 3714.253, 0.0, 1523.253, 0.0, -0.11849, 0.0, -6.04098, 0.0, -1.54099, 0.0, 242.305, 242.305
0.029733, 933.628, 18.0, 0.0, 1292.0, 1291.988, 3198.717, 3198.705, 0.094495, 0.014413, 0.011719, -323.0, -323.011, 676.2261, 676.2151, 0.121491, 0.001269, 0.011108, 50.00001, 50.00001, 237.264, 237.264, 0.043385, -3.4e-06, 0.0, 0.0, 5.08, 0.0, 5.040985, -0.00291, -0.00291, 0.039015, 5.040985, 0.0, 2000.0, 2013.569, 2013.569, 2013.569, -0.20719, -7.33334, -7.33334, -7.33334, 0.17927, 0.17927, 1.79e-06, -0.31987, -0.20883, 0.059159, -8.09512, 0.0, 8.256052, 0.0, 6.904882, 0.0, -7.74395, 0.0, -6.04098, 0.0, 0.0, 0.0, 3714.97, 0.0, 1523.97, 0.0, -0.09352, 0.0, -6.04098, 0.0, -1.54099, 0.0, 242.305, 242.305
-0.00635, 933.628, 18.0, 0.0, 1292.0, 1292.003, 3198.717, 3198.72, -0.13759, 0.011553, -0.00342, -323.0, -323.016, 676.2261, 676.21, 0.121355, 0.004118, 0.016113, 50.00001, 50.00001, 237.264, 237.264, 0.016238, 5.88e-07, 0.0, 0.0, 5.08, 0.0, 5.04599, -0.00663, -0.00663, 0.03401, 5.04599, 0.0, 2000.0, 2010.345, 2010.345, 2010.345, -0.02067, -6.83113, -6.83113, -6.83113, 0.18117, 0.18117, 1.81e-06, -0.07282, 0.034192, 0.055623, -8.09424, 0.0, 8.304898, 0.0, 6.905764, 0.0, -7.6951, 0.0, -6.04599, 0.0, 0.0, 0.0, 3715.007, 0.0, 1524.006, 0.0, -0.05865, 0.0, -6.04599, 0.0, -1.54599, 0.0, 242.31, 242.31
336.6082, 933.7395, 21.0, 0.0, 1292.0, 1292.018, 3198.717, 3198.735, -0.22921, 0.008428, -0.01831, -323.0, -323.016, 676.2261, 676.21, 0.098882, 0.004527, 0.016113, 49.68955, 49.69451, 236.9536, 236.9536, 0.428182, -0.1366, -0.00496, 0.0, 5.08, 0.0, 5.161438, -0.10477, -0.10477, -0.07648, 5.161438, 0.0, 2000.0, 1996.877, 1996.877, 1996.877, 0.042553, -6.75939, -6.75939, -6.75939, 0.17889, 0.17889, 1.79e-06, -0.23515, -0.11244, 0.078796, -8.08501, 0.0, 8.336607, 0.0, 6.914989, 0.0, -7.66339, 0.0, -6.15648, 0.0, 0.0, 0.0, 3378.392, 0.0, 1187.392, 0.0, -0.06066, 0.0, -6.15648, 0.0, -1.65648, 0.0, 242.11, 242.11
976.74, 934.4338, 21.0, 0.0, 1292.0, 1292.024, 3198.717, 3198.74, -0.33734, 0.007055, -0.02344, -323.0, -323.016, 676.2261, 676.21, 0.083071, 0.004944, 0.016113, 48.72825, 48.73829, 235.9923, 235.9923, 0.379976, -0.37315, -0.01004, 0.0, 5.08, 0.0, 5.177749, -0.12851, -0.12851, -0.0977, 5.177749, 0.0, 2000.0, 1996.119, 1996.119, 1996.119, 0.026745, -7.83554, -7.83554, -7.83554, 0.186488, 0.186488, 1.86e-06, -0.29421, -0.19622, 0.135369, -8.07953, 0.0, 8.357418, 0.0, 6.920469, 0.0, -7.64258, 0.0, -6.1777, 0.0, 0.0, 0.0, 2738.26, 0.0, 547.26, 0.0, -0.08614, 0.0, -6.1777, 0.0, -1.6777, 0.0, 241.16, 241.16
1601.094, 935.784, 21.0, 0.0, 1292.0, 1292.024, 3198.717, 3198.745, -0.3868, 0.006606, -0.02344, -323.0, -323.016, 676.2261, 676.21, 0.087632, 0.005357, 0.016113, 47.11591, 47.13103, 234.3799, 234.3799, 0.487194, -0.60414, -0.01512, 0.0, 5.08, 0.0, 5.190079, -0.13732, -0.13732, -0.10497, 5.190079, 0.0, 2000.0, 1998.585, 1998.585, 1998.585, 0.020428, -8.05077, -8.05077, -8.05077, 0.184209, 0.184209, 1.84e-06, -0.27802, -0.19639, 0.365829, -8.07687, 0.0, 8.35358, 0.0, 6.923132, 0.0, -7.64642, 0.0, -6.18497, 0.0, 0.0, 0.0, 2113.906, 0.0, -77.0944, 0.0, -0.18971, 0.0, -6.18497, 0.0, -1.68497, 0.0, 239.55, 239.55
2226.108, 937.7849, 21.0, 0.0, 1292.0, 1292.028, 3198.717, 3198.745, -0.33943, 0.005093, -0.02832, -323.0, -323.016, 676.2261, 676.21, 0.085288, 0.00577, 0.016113, 44.85252, 44.87273, 232.1165, 232.1165, 0.515229, -0.8354, -0.02022, 0.0, 5.08, 0.0, 5.198471, -0.14329, -0.14329, -0.10826, 5.198471, 0.0, 2000.0, 1996.119, 1996.119, 1996.119, 0.074173, -8.40949, -8.40949, -8.40949, 0.17927, 0.17927, 1.79e-06, -0.30575, -0.21917, 0.458332, -8.07213, 0.0, 8.35437, 0.0, 6.927866, 0.0, -7.64563, 0.0, -6.18826, 0.0, 0.0, 0.0, 1488.892, 0.0, -702.108, 0.0, -0.3809, 0.0, -6.18826, 0.0, -1.68826, 0.0, 237.285, 237.285
2851.13, 940.437, 21.0, 0.0, 1292.0, 1292.028, 3198.717, 3198.745, -0.317, 0.004517, -0.02832, -323.0, -323.021, 676.2261, 676.205, 0.055275, 0.008692, 0.021118, 41.93809, 41.96339, 229.2021, 229.2021, 0.399863, -1.06666, -0.0253, 0.0, 5.08, 0.0, 5.192901, -0.16089, -0.16089, -0.12261, 5.192901, 0.0, 2000.0, 1997.257, 1997.257, 1997.257, -0.00803, -7.47682, -7.47682, -7.47682, 0.17889, 0.17889, 1.79e-06, -0.30203, -0.22064, 0.38522, -8.06241, 0.0, 8.340157, 0.0, 6.937593, 0.0, -7.65984, 0.0, -6.20261, 0.0, 0.0, 0.0, 863.8706, 0.0, -1327.13, 0.0, -0.43315, 0.0, -6.20261, 0.0, -1.70261, 0.0, 234.38, 234.38
3476.12, 943.74, 21.0, 0.0, 1292.0, 1292.033, 3198.717, 3198.75, -0.21301, 0.00283, -0.03345, -323.0, -323.016, 676.2261, 676.21, 0.027068, 0.00666, 0.016113, 38.37263, 38.40301, 225.6366, 225.6366, 0.449406, -1.29791, -0.03038, 0.0, 5.08, 0.0, 5.203369, -0.17399, -0.17399, -0.13298, 5.203369, 0.0, 2000.0, 2012.052, 2012.052, 2012.052, -0.16293, -6.04196, -6.04196, -6.04196, 0.200164, 0.200164, 2.00e-06, -0.27841, -0.21077, 0.413148, -8.04315, 0.0, 8.29766, 0.0, 6.956848, 0.0, -7.70234, 0.0, -6.21298, 0.0, 0.0, 0.0, 238.8803, 0.0, -1952.12, 0.0, -0.39443, 0.0, -6.21298, 0.0, -1.71298, 0.0, 230.815, 230.815
